iqm_timestamp,job_id,molecule,basis,run_id,parameters,qubits,depth,total_gates,shots,single_qubit_gates,res_r,two_qubit_gates,res_cz,res_move,e_sqd,e_ccsd,e_fci,delta_ccsd,delta_fci,sampling_dim,post_cr_dim,cr_samples_per_batch,sub_space_dim,sym_space_dim,hil_space_dim,postcr_sym_ratio,sub_sym_ratio,sym_hil_ratio,cr_iter,cr_batches,cr_max_davidson_cycles,qpu_runtime
2025-12-04 14:49:49,019ae8a8-e512-7b51-adf5-ed579a50b61e,H2,sto3g,1,2,4,64,85,10000,35,35,50,18,32,-1.1278425043147058,-1.1278426051357853,-1.127842504314707,1.0082107948505836e-07,8.881784197001252e-16,16,4,100000000.0,4,4.0,16,1.0,1.0,0.25,10,1,200,5.93991
2025-12-04 14:50:05,019ae8a9-2586-7472-adf5-f9f5fec7051e,H2,sto3g,2,2,4,64,85,10000,35,35,50,18,32,-1.1278425043147058,-1.1278426051357853,-1.127842504314707,1.0082107948505836e-07,8.881784197001252e-16,16,4,100000000.0,4,4.0,16,1.0,1.0,0.25,10,1,200,5.891283
2025-12-04 14:50:21,019ae8a9-641e-78f0-adfd-a4c7a4f74b16,H2,sto3g,3,2,4,64,85,10000,35,35,50,18,32,-1.1278425043147058,-1.1278426051357853,-1.127842504314707,1.0082107948505836e-07,8.881784197001252e-16,16,4,100000000.0,4,4.0,16,1.0,1.0,0.25,10,1,200,5.831871
2025-12-04 14:52:04,019ae8aa-8f70-71d0-a23b-4cf34abd4253,LiH,sto3g,1,72,12,638,908,10000,358,358,550,202,348,-7.881178351661858,-7.881167143909167,-7.881178351665146,1.1207752691255736e-05,3.288036509729864e-12,3134,225,100000000.0,225,225.0,4096,1.0,1.0,0.054931640625,10,1,200,6.543565
2025-12-04 14:52:46,019ae8ab-3473-7411-9c9d-842fd6664d08,LiH,sto3g,2,72,12,638,908,10000,358,358,550,202,348,-7.881178351661858,-7.881167143909167,-7.881178351665146,1.1207752691255736e-05,3.288036509729864e-12,3140,225,100000000.0,225,225.0,4096,1.0,1.0,0.054931640625,10,1,200,6.582178
2025-12-04 14:53:28,019ae8ab-d995-7e80-a6d0-b739b2d803aa,LiH,sto3g,3,72,12,638,908,10000,358,358,550,202,348,-7.881178351661858,-7.881167143909167,-7.881178351665146,1.1207752691255736e-05,3.288036509729864e-12,3039,225,100000000.0,225,225.0,4096,1.0,1.0,0.054931640625,10,1,200,6.595707999999999
2025-12-04 14:56:54,019ae8ae-c1fa-7ee1-a71c-8e7c940ae6ac,BeH2,sto3g,1,156,14,1025,1424,10000,558,558,866,342,524,-15.547797929858335,-15.54741326429858,-15.547797929874353,0.000384665559757,1.6015633264032658e-11,5991,1118,100000000.0,1225,1225.0,16384,0.9126530612244896,1.0,0.07476806640625,10,1,200,6.985182
2025-12-04 14:57:52,019ae8af-a4f3-7e13-9645-518d075fc16c,BeH2,sto3g,2,156,14,1025,1424,10000,558,558,866,342,524,-15.547797929858335,-15.54741326429858,-15.547797929874353,0.000384665559757,1.6015633264032658e-11,5972,1111,100000000.0,1225,1225.0,16384,0.906938775510204,1.0,0.07476806640625,10,1,200,7.020246
2025-12-04 14:58:49,019ae8b0-86d9-75a0-a466-d8f4636e004a,BeH2,sto3g,3,156,14,1025,1424,10000,558,558,866,342,524,-15.547797929858335,-15.54741326429858,-15.547797929874353,0.000384665559757,1.6015633264032658e-11,6024,1112,100000000.0,1225,1225.0,16384,0.9077551020408164,1.0,0.07476806640625,10,1,200,6.68
2025-12-04 15:03:11,019ae8b4-78b1-7672-ae58-7dd9c10d99ff,H2O,sto3g,1,110,14,892,1248,10000,492,492,756,270,486,-75.015533518363,-75.01541232667518,-75.01553351836277,0.0001211916878247,2.273736754432321e-13,5177,407,100000000.0,441,441.0,16384,0.9229024943310656,1.0,0.02691650390625,10,1,200,6.93806
2025-12-04 15:04:11,019ae8b5-6431-7d43-98ce-bbd6d675794d,H2O,sto3g,2,110,14,892,1248,10000,492,492,756,270,486,-75.015533518363,-75.01541232667518,-75.01553351836277,0.0001211916878247,2.273736754432321e-13,5134,408,100000000.0,441,441.0,16384,0.9251700680272108,1.0,0.02691650390625,10,1,200,6.831839
2025-12-04 15:05:12,019ae8b6-50f3-7a61-a3e5-68910c41be55,H2O,sto3g,3,110,14,892,1248,10000,492,492,756,270,486,-75.015533518363,-75.01541232667518,-75.01553351836277,0.0001211916878247,2.273736754432321e-13,4880,380,100000000.0,441,441.0,16384,0.8616780045351474,1.0,0.02691650390625,10,1,200,6.986149
2025-12-04 15:10:13,019ae8ba-7598-7bc3-bb34-0756c3d47658,NH3,sto3g,1,240,16,1371,1898,10000,746,746,1152,450,702,-55.52114799751135,-55.52092972113004,-55.52114799754611,0.000218276381311,3.4759750633384095e-11,6488,1593,100000000.0,3136,3136.0,65536,0.5079719387755102,1.0,0.0478515625,10,1,200,7.138707999999999
2025-12-04 15:11:36,019ae8bb-d751-7c93-97e1-daf9c2606812,NH3,sto3g,2,240,16,1371,1898,10000,746,746,1152,450,702,-55.52114799751135,-55.52092972113004,-55.52114799754611,0.000218276381311,3.4759750633384095e-11,6040,1517,100000000.0,3136,3136.0,65536,0.4837372448979591,1.0,0.0478515625,10,1,200,7.225702000000002
2025-12-04 15:12:40,019ae8bd-194d-79a0-98f0-c0e3589d3fbb,NH3,sto3g,3,240,16,1371,1898,10000,746,746,1152,450,702,-55.52114799751135,-55.52092972113004,-55.52114799754611,0.000218276381311,3.4759750633384095e-11,6398,1607,100000000.0,3136,3136.0,65536,0.5124362244897959,1.0,0.0478515625,10,1,200,7.215848
